Months
month|year|start_date|end_date  |num_at_meeting|staff_at_breakfast|tickets_claimed
    1|2024|          |          |              |                  |               
    2|2024|          |          |              |                  |             99
    3|2024|          |          |            21|                12|             70
    4|2024|          |          |            12|                 9|             42
   10|2024|          |          |              |                  |               
   11|2024|          |          |             8|                11|             44
   12|2024|          |          |             9|                11|             48
    1|2025|          |          |            12|                13|             54
    2|2025|          |          |            12|                10|             64
    3|2025|          |          |             9|                10|             59
    4|2025|          |          |             8|                11|             37
   10|2025|          |          |             5|                  |               
   11|2025|Nov 02, 25|Nov 28, 25|            14|                14|             61
   12|2025|Nov 29, 25|Dec 31, 25|            13|                 8|             54
    1|2026|Jan 01, 26|Jan 26, 26|            14|                12|             64
    2|2026|Jan 27, 26|          |              |                  |               

Globals
name             |int|decimal
adv ticket price |  5|       
door ticket price|  6|       

Accounts
account       |section  |category       |type    
adv tickets   |Cash Flow|Breakfast      |Revenue 
door tickets  |Cash Flow|Breakfast      |Revenue 
50/50         |Cash Flow|Breakfast      |Revenue 
bf donations  |Cash Flow|Breakfast      |Revenue 
Sam's card    |Cash Flow|Breakfast      |Expenses
bf supplies   |Cash Flow|Breakfast      |Expenses
expense, bf   |Cash Flow|Breakfast      |Expenses
120 Club      |Cash Flow|Other          |Revenue 
revenue       |Cash Flow|Other          |Revenue 
donations     |Cash Flow|Other          |Revenue 
meeting dinner|Cash Flow|Other          |Expenses
xmas donation |Cash Flow|Other          |Expenses
expense       |Cash Flow|Other          |Expenses
petty cash    |Cash Flow|Other          |Expenses
bank          |Balance  |Current Balance|Bank    
cash          |Balance  |Current Balance|Cash    
cash out      |         |               |Expenses
cash in       |         |               |Revenue 

Starts
account     |detail  |coin|b1|b5|b10|b20|b50|b100
door tickets|start   |   0|20| 2|  2|  0|  0|   0
50/50       |start   |   0|10| 2|  2|  0|  0|   0
cash        |minimums|   4|15| 6|  6| 12|  6|   0

Reconcile
date      |account       |detail              |coin| b1|b5|b10|b20|b50|b100|donations
Nov 01, 25|cash          |w/starts            |4.81| 44|13| 16| 12| 10|  18|        0
Nov 03, 25|Sam's card    |Bruce, Sam's Card   |   0|  0| 3|  0|  0|  0|   0|        0
Nov 04, 25|meeting dinner|Bruce, pizza        | 0.5|  2| 0|  4|  0|  0|   0|        0
Nov 04, 25|meeting dinner|Bruce, beer         |0.25| 22| 0|  0|  0|  0|   0|        0
Nov 05, 25|adv tickets   |Steve & David       |   1|  4| 1|  4|  5|  0|   0|        0
Nov 05, 25|adv tickets   |Henry               |   0| 20| 0|  0|  0|  0|   0|        0
Nov 05, 25|adv tickets   |Abe & Harvey        |   0|  0| 1|  3|  4|  0|   0|        0
Nov 05, 25|adv tickets   |Jim                 |   0|  0| 4|  1|  0|  0|   0|        0
Nov 05, 25|adv tickets   |Marvin              |   0|  0| 9|  0|  0|  0|   0|        0
Nov 08, 25|door tickets  |End                 |   0| 13| 2|  4|  2|  0|   0|        0
Nov 08, 25|50/50         |End                 |   0|  9|11|  1|  1|  0|   0|        0
Nov 08, 25|bf supplies   |Bruce, cups         |   0|  0| 5|  0|  0|  0|   0|        0
Nov 08, 25|bf supplies   |Marvin, Sam's       |0.52|  2| 1|  0|  1|  0|   1|        0
Nov 08, 25|bf supplies   |Walmart & Gordons   |0.15|  0| 1|  0|  1|  0|   0|        0
Nov 08, 25|bf supplies   |David, Plates       | 0.2|  4| 1|  1|  0|  0|   0|        0
Nov 08, 25|bf supplies   |Steve, Orange Juice |   0|  4| 0|  1|  0|  0|   0|        0
Nov 28, 25|cash          |w/starts            |4.19| 26|26| 19| 22| 10|  17|        0
Nov 28, 25|cash out      |                    |   0|  0|14|  3| 16|  0|   0|        0
Nov 28, 25|cash in       |                    |   0| 20| 0|  0|  0|  0|   4|        0
Nov 28, 25|cash          |w/starts            |4.19| 46|12| 16|  6| 10|  21|        0
Dec 11, 25|meeting dinner|Bruce, pizza        |   0|  0| 1|  5|  0|  0|   0|        0
